Cust_ID,Product Group,1/1/2010,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013
CUSTOMER 1,FraudFinder 2.0.,172.24,172.24,172.24,172.24,172.24,172.24,172.24,172.24,172.24,172.24,172.24,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.10,198.09,198.09,198.13,217.91,217.91,217.91,217.91,217.91,217.91,217.91,217.91,217.91,217.91,217.91,217.92,239.70,239.70,239.70,239.70,239.70,239.70,239.70
CUSTOMER 3,FraudFinder 2.0.,153.54,153.54,153.54,153.54,153.54,153.54,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.64,189.64,189.64,189.64,208.59,208.59,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.57,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.44
CUSTOMER 4,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.32,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13
CUSTOMER 5,FraudFinder 2.0.,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,143.70,143.70,143.70,143.70,143.70,143.70,143.70,143.70,143.70,143.70,143.70,143.70,158.07,158.07,158.07,158.07,315.87,189.65,178.80,178.80,178.80,-536.39,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 6,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.09,203.09,203.09,203.09,203.09,203.09,203.09,203.09,203.09,203.09,203.09,203.06,223.39,223.39
CUSTOMER 7,FraudFinder 2.0.,172.24,172.24,172.24,172.24,172.24,396.98,396.98,396.98,396.98,396.98,396.98,396.98,396.98,396.98,396.98,396.98,396.99,436.68,436.68,436.68,436.68,436.68,436.68,436.68,436.68,436.68,436.68,436.68,436.71,480.35,480.35,480.35,480.35,480.35,480.35,480.35,480.35,480.35,480.35,480.35,480.36,528.39
CUSTOMER 8,FraudFinder 2.0.,139.44,139.44,139.44,153.41,153.41,153.41,153.41,153.41,153.41,153.41,153.41,153.42,153.42,153.42,153.42,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.66,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.57,229.46,229.46,229.46
CUSTOMER 9,FraudFinder 2.0.,86.29,86.28,86.29,86.30,94.94,94.94,94.94,94.94,94.94,94.94,94.94,94.94,94.95,94.94,94.95,94.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 11,FraudFinder 2.0.,61.24,61.24,61.24,61.24,61.25,61.25,61.25,61.25,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.92,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.37,284.24,284.24,284.24,284.24,284.24,284.24,284.24,284.24,284.24,284.24
CUSTOMER 12,FraudFinder 2.0.,0.00,0.00,0.00,0.00,117.92,289.36,289.36,289.36,289.36,289.37,289.37,289.37,289.37,289.38,289.38,289.38,289.38,314.30,314.30,314.30,314.31,314.31,314.31,314.31,314.31,314.31,314.31,314.31,314.28,345.73,345.73,345.73,345.73,345.73,345.73,345.73,345.73,345.73,345.73,345.73,345.76,380.31
CUSTOMER 15,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262.47,131.24,131.24,131.24,131.24,131.24,131.24,131.24
CUSTOMER 16,FraudFinder 2.0.,360.90,360.89,360.89,360.89,360.63,360.89,360.89,360.89,360.89,360.90,360.90,360.90,360.90,295.28,295.28,295.28,295.28,295.28,295.28,295.28,295.28,295.28,295.28,295.28,295.28,324.80,324.80,324.80,324.80,324.80,324.80,324.80,324.80,324.80,324.80,324.80,324.80,357.28,357.28,357.28,357.28,357.28
CUSTOMER 17,FraudFinder 2.0.,389.77,389.77,389.77,389.77,423.48,423.48,423.48,423.48,423.50,423.50,423.50,423.49,423.50,423.50,423.50,423.50,423.48,423.48,423.48,423.48,423.50,423.50,423.50,423.50,423.50,423.50,423.50,423.43,465.83,465.83,465.83,465.83,465.83,465.83,465.83,465.83,465.83,465.83,465.83,465.90,512.43,512.43
CUSTOMER 18,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.91,59.91,59.91,59.91,59.91,59.91,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,185.79,185.79,185.79,185.79
CUSTOMER 20,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.66,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.57,229.46,229.46
CUSTOMER 21,FraudFinder 2.0.,110.90,110.90,121.98,121.98,121.98,121.98,121.98,121.98,121.98,121.98,121.98,121.98,121.98,121.99,140.22,140.22,140.22,140.22,140.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 22,FraudFinder 2.0.,95.14,95.14,95.14,95.14,95.14,95.14,95.14,95.14,95.15,95.14,95.15,95.16,122.05,-1464.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 23,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,516.08,516.08,516.08,516.08
CUSTOMER 24,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146.39,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,185.79,185.79,185.79,185.79,185.79,185.79,185.79,185.79,185.79,185.79
CUSTOMER 26,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,134.25,134.25,134.25,134.25,134.25,134.25,134.25,134.25,134.25,134.25,134.25,134.25,147.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 27,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,262.46,262.46,262.46,262.46,262.46,262.46,262.46,262.46,262.46,262.46,262.46,262.50,288.72,288.72,288.72,288.72,682.42,367.44,404.20,404.20,-808.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 28,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,328.09,328.09,328.09,328.09
CUSTOMER 29,FraudFinder 2.0.,208.59,208.59,208.59,208.60,208.60,208.60,208.59,208.60,208.60,208.60,208.61,239.89,239.89,239.89,239.89,239.90,239.90,239.90,239.89,239.90,239.90,239.90,239.87,263.88,263.88,263.88,263.88,263.88,263.88,263.88,263.88,263.88,263.88,263.88,263.91,290.28,290.28,290.28,290.28,290.28,290.28,290.28
CUSTOMER 30,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.05,122.05,122.05,122.05,122.05
CUSTOMER 31,FraudFinder 2.0.,68.69,68.69,68.69,284.12,284.12,284.12,284.12,284.12,284.12,284.12,284.12,284.13,284.13,284.13,284.13,369.35,369.35,369.35,369.35,369.35,369.35,369.35,369.35,369.35,369.35,369.35,369.39,406.29,406.29,406.29,406.29,406.29,406.29,406.29,406.29,406.29,406.29,406.29,406.31,446.92,0.00,0.00
CUSTOMER 32,FraudFinder 2.0.,67.58,67.58,67.59,67.58,67.59,67.60,67.58,67.58,67.58,67.58,67.58,67.58,67.58,67.58,67.59,67.58,67.59,67.60,74.34,74.34,74.35,74.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 33,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 34,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.37,284.24,284.24,284.24,284.24,284.24,284.24,284.24,284.24,284.24,284.24
CUSTOMER 38,FraudFinder 2.0.,366.14,366.14,366.14,366.14,366.14,366.15,366.15,366.16,402.75,402.75,402.75,402.75,402.76,402.76,402.76,402.75,402.76,402.76,402.76,402.77,442.98,442.98,442.98,442.98,442.98,442.98,442.98,442.98,442.98,442.98,442.98,442.92,487.28,487.28,487.28,487.28,487.28,487.28,487.28,487.28,487.28,487.28
CUSTOMER 39,FraudFinder 2.0.,94.91,94.91,94.91,94.92,94.92,95.14,95.14,95.14,95.14,95.14,95.14,95.14,95.14,95.15,95.14,95.15,95.16,122.05,122.05,122.05,122.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 40,FraudFinder 2.0.,95.14,95.14,95.14,95.14,95.14,95.14,95.15,95.14,95.15,95.16,95.14,95.14,95.14,95.14,95.14,95.14,95.14,95.14,95.15,95.14,95.14,95.17,104.66,104.66,104.66,104.66,104.66,104.66,104.66,104.66,104.66,104.66,104.66,104.63,115.13,115.13,115.13,115.13,115.13,115.13,115.13,115.13
CUSTOMER 41,FraudFinder 2.0.,86.30,94.91,94.91,94.91,94.91,94.91,94.91,94.91,94.91,94.91,94.91,94.92,94.92,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,134.25,134.25,134.25,134.25,134.25,134.25,134.25,134.25,134.25,134.25,134.25,134.25,147.68,147.68,147.68,147.68,147.68
CUSTOMER 43,FraudFinder 2.0.,137.80,137.80,137.80,137.80,137.80,137.80,137.80,137.80,137.80,137.80,137.80,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,185.79,185.79,185.79,185.79,185.79,185.79,284.21
CUSTOMER 44,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2135.17,2135.17,2135.17,2135.17,2135.17,2135.17,2135.17,2135.17,2135.17,2135.17
CUSTOMER 45,FraudFinder 2.0.,338.53,372.37,512.02,512.02,-605.31,512.02,512.02,512.02,512.02,512.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 46,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,185.79,185.79,185.79,185.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00
