Cust_ID,Product Group,1/1/10,2/1/10,3/1/10,4/1/10,5/1/10,6/1/10,7/1/10,8/1/10,9/1/10,10/1/10,11/1/10,12/1/10,1/1/11,2/1/11,3/1/11,4/1/11,5/1/11,6/1/11,7/1/11,8/1/11,9/1/11,10/1/11,11/1/11,12/1/11,1/1/12,2/1/12,3/1/12,4/1/12,5/1/12,6/1/12,7/1/12,8/1/12,9/1/12,10/1/12,11/1/12,12/1/12,1/1/13,2/1/13,3/1/13,4/1/13,5/1/13,6/1/13
CUSTOMER 1,FraudFinder 2.0., $172 , $172 , $172 , $172 , $172 , $172 , $172 , $172 , $172 , $172 , $172 , $198 , $198 , $198 , $198 , $198 , $198 , $198 , $198 , $198 , $198 , $198 , $198 , $218 , $218 , $218 , $218 , $218 , $218 , $218 , $218 , $218 , $218 , $218 , $218 , $240 , $240 , $240 , $240 , $240 , $240 , $240 
CUSTOMER 2,FraudFinder, $91 , $91 , $91 , $100 , $100 , $100 , $100 , $100 , $100 , $100 , $100 , $100 , $100 , $100 , $100 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
CUSTOMER 3,FraudFinder 2.0., $154 , $154 , $154 , $154 , $154 , $154 , $190 , $190 , $190 , $190 , $190 , $190 , $190 , $190 , $190 , $190 , $190 , $190 , $209 , $209 , $209 , $209 , $209 , $209 , $209 , $209 , $209 , $209 , $209 , $209 , $229 , $229 , $229 , $229 , $229 , $229 , $229 , $229 , $229 , $229 , $229 , $229 
CUSTOMER 4,FraudFinder, $89 , $89 , $89 , $89 , $89 , $89 , $89 , $89 , $122 , $122 , $122 , $122 , $122 , $122 , $122 , $122 , $122 , $122 , $122 , $122 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
CUSTOMER 4,FraudFinder 2.0., $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $148 , $148 , $148 , $148 , $148 , $148 , $148 , $148 , $148 , $148 , $148 , $148 , $163 , $163 , $163 , $163 , $163 , $163 , $163 , $163 , $163 , $163 
CUSTOMER 5,FraudFinder 2.0., $122 , $122 , $122 , $122 , $122 , $122 , $122 , $122 , $122 , $122 , $122 , $122 , $122 , $122 , $144 , $144 , $144 , $144 , $144 , $144 , $144 , $144 , $144 , $144 , $144 , $144 , $158 , $158 , $158 , $158 , $316 , $190 , $179 , $179 , $179 , $(536), $-   , $-   , $-   , $-   , $-   , $-   
CUSTOMER 6,FraudFinder 2.0., $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $203 , $203 , $203 , $203 , $203 , $203 , $203 , $203 , $203 , $203 , $203 , $203 , $223 , $223 
CUSTOMER 7,FraudFinder 2.0., $172 , $172 , $172 , $172 , $172 , $397 , $397 , $397 , $397 , $397 , $397 , $397 , $397 , $397 , $397 , $397 , $397 , $437 , $437 , $437 , $437 , $437 , $437 , $437 , $437 , $437 , $437 , $437 , $437 , $480 , $480 , $480 , $480 , $480 , $480 , $480 , $480 , $480 , $480 , $480 , $480 , $528 
CUSTOMER 8,FraudFinder 2.0., $139 , $139 , $139 , $153 , $153 , $153 , $153 , $153 , $153 , $153 , $153 , $153 , $153 , $153 , $153 , $190 , $190 , $190 , $190 , $190 , $190 , $190 , $190 , $190 , $190 , $190 , $190 , $209 , $209 , $209 , $209 , $209 , $209 , $209 , $209 , $209 , $209 , $209 , $209 , $229 , $229 , $229 
CUSTOMER 9,FraudFinder 2.0., $86 , $86 , $86 , $86 , $95 , $95 , $95 , $95 , $95 , $95 , $95 , $95 , $95 , $95 , $95 , $95 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
