Cust_ID,Product Group,1/1/2010,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013
CUSTOMER 1,FraudFinder 2.0.,172.24,172.24,172.24,172.24,172.24,172.24,172.24,172.24,172.24,172.24,172.24,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.10,198.09,198.09,198.13,217.91,217.91,217.91,217.91,217.91,217.91,217.91,217.91,217.91,217.91,217.91,217.92,239.70,239.70,239.70,239.70,239.70,239.70,239.70
CUSTOMER 2,FraudFinder,90.81,90.82,90.83,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.87,99.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 3,FraudFinder 2.0.,153.54,153.54,153.54,153.54,153.54,153.54,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.64,189.64,189.64,189.64,208.59,208.59,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.57,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.46,229.44
CUSTOMER 4,FraudFinder,88.58,88.58,88.58,88.58,88.58,88.58,88.58,88.58,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 4,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.29,148.32,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13,163.13
CUSTOMER 5,FraudFinder 2.0.,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,122.05,143.70,143.70,143.70,143.70,143.70,143.70,143.70,143.70,143.70,143.70,143.70,143.70,158.07,158.07,158.07,158.07,315.87,189.65,178.80,178.80,178.80,-536.39,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 6,FraudFinder 2.0.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.09,203.09,203.09,203.09,203.09,203.09,203.09,203.09,203.09,203.09,203.09,203.06,223.39,223.39
CUSTOMER 7,FraudFinder 2.0.,172.24,172.24,172.24,172.24,172.24,396.98,396.98,396.98,396.98,396.98,396.98,396.98,396.98,396.98,396.98,396.98,396.99,436.68,436.68,436.68,436.68,436.68,436.68,436.68,436.68,436.68,436.68,436.68,436.71,480.35,480.35,480.35,480.35,480.35,480.35,480.35,480.35,480.35,480.35,480.35,480.36,528.39
CUSTOMER 8,FraudFinder 2.0.,139.44,139.44,139.44,153.41,153.41,153.41,153.41,153.41,153.41,153.41,153.41,153.42,153.42,153.42,153.42,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.63,189.66,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.60,208.57,229.46,229.46,229.46
CUSTOMER 9,FraudFinder 2.0.,86.29,86.28,86.29,86.30,94.94,94.94,94.94,94.94,94.94,94.94,94.94,94.94,94.95,94.94,94.95,94.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 10,FraudFinder,80.71,80.71,80.71,80.71,80.71,80.71,80.71,80.71,80.71,80.71,80.71,80.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 11,FraudFinder,90.81,90.81,90.81,90.81,90.82,90.81,90.82,90.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 11,FraudFinder 2.0.,61.24,61.24,61.24,61.24,61.25,61.25,61.25,61.25,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.91,234.92,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.40,258.37,284.24,284.24,284.24,284.24,284.24,284.24,284.24,284.24,284.24,284.24
CUSTOMER 12,FraudFinder,96.06,96.06,96.06,96.06,96.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CUSTOMER 12,FraudFinder 2.0.,0.00,0.00,0.00,0.00,117.92,289.36,289.36,289.36,289.36,289.37,289.37,289.37,289.37,289.38,289.38,289.38,289.38,314.30,314.30,314.30,314.31,314.31,314.31,314.31,314.31,314.31,314.31,314.31,314.28,345.73,345.73,345.73,345.73,345.73,345.73,345.73,345.73,345.73,345.73,345.73,345.76,380.31
CUSTOMER 13,FraudFinder,80.71,80.71,80.71,80.71,80.71,80.71,80.71,80.71,80.71,80.71,80.71,80.71,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,153.54,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,168.90,185.79,-185.79,0.00,0.00,0.00,0.00
