,Cust_ID,Year,Revenue,Product,Customer,# Transactions
3,CUSTOMER 774,2012,19028.850000000002,FraudFinder,CUSTOMER 774,802117023
4,CUSTOMER 774,2011,15838.199999999999,FraudFinder,CUSTOMER 774,192
10,CUSTOMER 798,2011,33268.36000000001,FraudFinder,CUSTOMER 798,20293201
12,CUSTOMER 2532,2012,34645.649999999994,FraudFinder,CUSTOMER 2532,131209
16,CUSTOMER 2262,2011,33952.71,FraudFinder,CUSTOMER 2262,24099
21,CUSTOMER 2262,2012,-3703.94,FraudFinder 2.0.,CUSTOMER 2262,11250
25,CUSTOMER 2262,2012,-3703.94,Other,CUSTOMER 2262,11250
32,CUSTOMER 319,2011,18326.800000000003,FraudFinder,CUSTOMER 319,29105334
34,CUSTOMER 319,2011,7716.54,FraudFinder 2.0.,CUSTOMER 319,29105334
36,CUSTOMER 319,2011,7716.54,Other,CUSTOMER 319,29105334
45,CUSTOMER 3550,2011,8202.1,FraudFinder,CUSTOMER 3550,23
48,CUSTOMER 3550,2011,22047.24,FraudFinder 2.0.,CUSTOMER 3550,23
51,CUSTOMER 3550,2011,22047.24,Other,CUSTOMER 3550,23
55,CUSTOMER 389,2012,10708.64,FraudFinder,CUSTOMER 389,52
57,CUSTOMER 991,2012,15748.05,FraudFinder,CUSTOMER 991,10521634
60,CUSTOMER 991,2011,3937.0199999999995,FraudFinder,CUSTOMER 991,4856988
62,CUSTOMER 991,2011,7696.85,FraudFinder 2.0.,CUSTOMER 991,4856988
64,CUSTOMER 991,2011,7696.85,Other,CUSTOMER 991,4856988
66,CUSTOMER 2017,2010,15445.889999999998,FraudFinder,CUSTOMER 2017,3295303
70,CUSTOMER 2017,2011,1296.99,FraudFinder,CUSTOMER 2017,3705474
82,CUSTOMER 4058,2012,13558.849999999999,FraudFinder,CUSTOMER 4058,1582973
84,CUSTOMER 4058,2011,12326.240000000002,FraudFinder,CUSTOMER 4058,1847222
86,CUSTOMER 4058,2010,11201.619999999999,FraudFinder,CUSTOMER 4058,2
94,CUSTOMER 2928,2012,7866.140000000001,FraudFinder,CUSTOMER 2928,1871148
102,CUSTOMER 3040,2010,12709.789999999995,FraudFinder,CUSTOMER 3040,55908
106,CUSTOMER 3040,2011,6657.48,FraudFinder,CUSTOMER 3040,84992903
110,CUSTOMER 2994,2011,11574.83,FraudFinder,CUSTOMER 2994,86
122,CUSTOMER 3506,2010,11280.800000000003,FraudFinder,CUSTOMER 3506,18843736
126,CUSTOMER 3506,2011,10257.279999999999,FraudFinder,CUSTOMER 3506,26008785
130,CUSTOMER 635,2012,887.5,FraudFinder,CUSTOMER 635,22
131,CUSTOMER 635,2012,7696.85,FraudFinder 2.0.,CUSTOMER 635,22
132,CUSTOMER 635,2012,7696.85,Other,CUSTOMER 635,22
135,CUSTOMER 3491,2012,2701.05,FraudFinder,CUSTOMER 3491,8544609
136,CUSTOMER 3491,2012,-900.35,FraudFinder 2.0.,CUSTOMER 3491,8544609
137,CUSTOMER 3491,2012,-900.35,Other,CUSTOMER 3491,8544609
138,CUSTOMER 737,2012,10138.939999999997,FraudFinder,CUSTOMER 737,285180
142,CUSTOMER 736,2012,10138.939999999997,FraudFinder,CUSTOMER 736,18449
146,CUSTOMER 2709,2010,9986.599999999999,FraudFinder,CUSTOMER 2709,299895
154,CUSTOMER 274,2012,9790.39,FraudFinder,CUSTOMER 274,57715
155,CUSTOMER 274,2011,8900.329999999998,FraudFinder,CUSTOMER 274,54819
161,CUSTOMER 3217,2010,9706.32,FraudFinder,CUSTOMER 3217,6338928
165,CUSTOMER 3217,2011,1617.72,FraudFinder,CUSTOMER 3217,7956405
167,CUSTOMER 441,2011,9662.26,FraudFinder,CUSTOMER 441,671279
172,CUSTOMER 441,2012,7909.579999999998,FraudFinder,CUSTOMER 441,35363341
178,CUSTOMER 901,2011,8274.629999999997,FraudFinder,CUSTOMER 901,797
181,CUSTOMER 901,2010,2184.0899999999997,FraudFinder,CUSTOMER 901,706
185,CUSTOMER 76,2011,9626.039999999999,FraudFinder,CUSTOMER 76,4217298
188,CUSTOMER 76,2012,3208.68,FraudFinder,CUSTOMER 76,4219176
189,CUSTOMER 1700,2010,9626.039999999999,FraudFinder,CUSTOMER 1700,33
193,CUSTOMER 1700,2011,1604.34,FraudFinder,CUSTOMER 1700,8
202,CUSTOMER 1606,2012,9310.980000000001,FraudFinder,CUSTOMER 1606,42111
214,CUSTOMER 1646,2012,9169.99,FraudFinder,CUSTOMER 1646,101
218,CUSTOMER 3309,2010,9054.69,FraudFinder,CUSTOMER 3309,13
219,CUSTOMER 3309,2010,9054.69,FraudFinder,CUSTOMER 3309,33148
225,CUSTOMER 3309,2011,3818.21,FraudFinder,CUSTOMER 3309,7111237
226,CUSTOMER 3309,2011,3818.21,FraudFinder,CUSTOMER 3309,24455
228,CUSTOMER 3109,2010,8942.53,FraudFinder,CUSTOMER 3109,891674
232,CUSTOMER 3109,2011,4684.29,FraudFinder,CUSTOMER 3109,1349268
235,CUSTOMER 3109,2011,-7600.39,FraudFinder 2.0.,CUSTOMER 3109,1349268
241,CUSTOMER 3109,2011,-7600.39,Other,CUSTOMER 3109,1349268
248,CUSTOMER 726,2012,8681.160000000002,FraudFinder,CUSTOMER 726,1424376
250,CUSTOMER 726,2011,8336.659999999998,FraudFinder,CUSTOMER 726,1276165
252,CUSTOMER 726,2010,7939.660000000001,FraudFinder,CUSTOMER 726,1551679
258,CUSTOMER 726,2010,12167.64,FraudFinder 2.0.,CUSTOMER 726,1551679
262,CUSTOMER 726,2011,8477.26,FraudFinder 2.0.,CUSTOMER 726,1276165
266,CUSTOMER 726,2012,3125.1599999999994,FraudFinder 2.0.,CUSTOMER 726,1424376
270,CUSTOMER 726,2010,12167.64,Other,CUSTOMER 726,1551679
274,CUSTOMER 726,2011,8477.26,Other,CUSTOMER 726,1276165
278,CUSTOMER 726,2012,3125.1599999999994,Other,CUSTOMER 726,1424376
290,CUSTOMER 3463,2012,2571.5700000000006,FraudFinder,CUSTOMER 3463,8568
296,CUSTOMER 2356,2012,8136.55,FraudFinder,CUSTOMER 2356,936816
302,CUSTOMER 3115,2011,8058.41,FraudFinder,CUSTOMER 3115,8170181
308,CUSTOMER 1887,2011,3342.5,FraudFinder,CUSTOMER 1887,240135
311,CUSTOMER 3375,2011,7874.04,FraudFinder,CUSTOMER 3375,385495
313,CUSTOMER 3375,2010,5905.53,FraudFinder,CUSTOMER 3375,137516
318,CUSTOMER 3375,2012,1968.5499999999997,FraudFinder,CUSTOMER 3375,259135
320,CUSTOMER 3422,2012,3937.0199999999995,FraudFinder,CUSTOMER 3422,56455
321,CUSTOMER 3422,2012,836.6200000000001,FraudFinder 2.0.,CUSTOMER 3422,56455
323,CUSTOMER 3422,2012,836.6200000000001,Other,CUSTOMER 3422,56455
325,CUSTOMER 719,2011,7696.85,FraudFinder,CUSTOMER 719,9570769
327,CUSTOMER 3032,2011,7696.85,FraudFinder,CUSTOMER 3032,11348767
329,CUSTOMER 620,2011,7527.530000000001,FraudFinder,CUSTOMER 620,964978
335,CUSTOMER 396,2012,3717.69,FraudFinder,CUSTOMER 396,2867605
336,CUSTOMER 437,2010,7294.92,FraudFinder,CUSTOMER 437,68
340,CUSTOMER 1924,2011,7202.600000000001,FraudFinder,CUSTOMER 1924,383559
344,CUSTOMER 627,2010,7061.2300000000005,FraudFinder,CUSTOMER 627,3458329
347,CUSTOMER 627,2010,1377.25,FraudFinder 2.0.,CUSTOMER 627,3458329
351,CUSTOMER 627,2011,1712.64,FraudFinder 2.0.,CUSTOMER 627,939750
355,CUSTOMER 627,2012,1712.64,FraudFinder 2.0.,CUSTOMER 627,551063
359,CUSTOMER 627,2010,1377.25,Other,CUSTOMER 627,3458329
363,CUSTOMER 627,2011,1712.64,Other,CUSTOMER 627,939750
367,CUSTOMER 627,2012,1712.64,Other,CUSTOMER 627,551063
373,CUSTOMER 975,2012,3117.7700000000004,FraudFinder,CUSTOMER 975,1177
381,CUSTOMER 4041,2012,-0.009999999999763531,FraudFinder,CUSTOMER 4041,2992375
382,CUSTOMER 3637,2011,6372.32,FraudFinder,CUSTOMER 3637,306
386,CUSTOMER 2513,2010,6278.390000000001,FraudFinder,CUSTOMER 2513,2
389,CUSTOMER 383,2010,6253.96,FraudFinder,CUSTOMER 383,1286378
393,CUSTOMER 383,2011,3674.5499999999997,FraudFinder,CUSTOMER 383,721435
396,CUSTOMER 4131,2011,6233.550000000001,FraudFinder,CUSTOMER 4131,4256063
398,CUSTOMER 4131,2010,2860.9000000000005,FraudFinder,CUSTOMER 4131,1559060
402,CUSTOMER 1336,2011,6050.06,FraudFinder,CUSTOMER 1336,8407
403,CUSTOMER 1336,2011,6050.06,FraudFinder,CUSTOMER 1336,152125
405,CUSTOMER 1336,2010,5766.21,FraudFinder,CUSTOMER 1336,147776
412,CUSTOMER 1336,2012,3362.000000000001,FraudFinder,CUSTOMER 1336,975564
418,CUSTOMER 1336,2011,-0.03,FraudFinder 2.0.,CUSTOMER 1336,8407
419,CUSTOMER 1336,2011,-0.03,FraudFinder 2.0.,CUSTOMER 1336,152125
422,CUSTOMER 1336,2011,-0.03,Other,CUSTOMER 1336,8407
423,CUSTOMER 1336,2011,-0.03,Other,CUSTOMER 1336,152125
427,CUSTOMER 1083,2011,5006.219999999999,FraudFinder,CUSTOMER 1083,213191
430,CUSTOMER 1083,2012,-1200.0,FraudFinder 2.0.,CUSTOMER 1083,452508
432,CUSTOMER 1083,2012,-1200.0,Other,CUSTOMER 1083,452508
433,CUSTOMER 835,2010,6016.5,FraudFinder,CUSTOMER 835,1
447,CUSTOMER 1414,2010,5709.199999999999,FraudFinder,CUSTOMER 1414,1548
456,CUSTOMER 607,2010,5764.1900000000005,FraudFinder,CUSTOMER 607,878754
459,CUSTOMER 595,2011,5706.849999999999,FraudFinder,CUSTOMER 595,8699
464,CUSTOMER 595,2012,2165.36,FraudFinder,CUSTOMER 595,4962
466,CUSTOMER 595,2012,-595.47,FraudFinder 2.0.,CUSTOMER 595,4962
468,CUSTOMER 595,2012,-595.47,Other,CUSTOMER 595,4962
483,CUSTOMER 1399,2010,5619.410000000001,FraudFinder,CUSTOMER 1399,5308135
484,CUSTOMER 1399,2010,5619.410000000001,FraudFinder,CUSTOMER 1399,121574
485,CUSTOMER 1399,2010,5619.410000000001,FraudFinder,CUSTOMER 1399,11917
493,CUSTOMER 1399,2011,1573.52,FraudFinder,CUSTOMER 1399,6783402
494,CUSTOMER 1399,2011,1573.52,FraudFinder,CUSTOMER 1399,1165248
497,CUSTOMER 2130,2010,5522.7300000000005,FraudFinder,CUSTOMER 2130,47346
501,CUSTOMER 2130,2011,3752.6300000000006,FraudFinder,CUSTOMER 2130,404597
504,CUSTOMER 877,2012,5459.639999999999,FraudFinder,CUSTOMER 877,1104310
505,CUSTOMER 877,2011,4379.66,FraudFinder,CUSTOMER 877,574816
512,CUSTOMER 826,2012,5448.160000000001,FraudFinder,CUSTOMER 826,4
514,CUSTOMER 518,2011,5422.94,FraudFinder,CUSTOMER 518,88575
519,CUSTOMER 518,2012,464.57,FraudFinder,CUSTOMER 518,83732
523,CUSTOMER 403,2012,2565.600000000001,FraudFinder,CUSTOMER 403,5263741
524,CUSTOMER 403,2011,1911.0700000000004,FraudFinder,CUSTOMER 403,2680279
532,CUSTOMER 1295,2011,5153.519999999999,FraudFinder,CUSTOMER 1295,238188
537,CUSTOMER 1295,2012,432.77,FraudFinder,CUSTOMER 1295,370327
540,CUSTOMER 1439,2012,2462.2,FraudFinder,CUSTOMER 1439,1149807
541,CUSTOMER 1891,2010,5133.36,FraudFinder,CUSTOMER 1891,477828
546,CUSTOMER 1891,2012,4297.849999999999,FraudFinder,CUSTOMER 1891,472658
548,CUSTOMER 1891,2011,4037.52,FraudFinder,CUSTOMER 1891,443790
