Customer,# Transactions,Year
CUSTOMER 3,103,2010
CUSTOMER 4,26827,2010
CUSTOMER 8,2211549,2010
CUSTOMER 9,353685,2010
CUSTOMER 11,2074955,2010
CUSTOMER 12,2034905,2010
CUSTOMER 17,37738,2010
CUSTOMER 18,1538746,2010
CUSTOMER 21,34194,2010
CUSTOMER 22,0,2010
CUSTOMER 24,36,2010
CUSTOMER 26,87252,2010
CUSTOMER 27,8,2010
CUSTOMER 33,1377341,2010
CUSTOMER 34,3,2010
CUSTOMER 40,2913,2010
CUSTOMER 41,339322,2010
CUSTOMER 45,2527336,2010
CUSTOMER 46,701848,2010
CUSTOMER 48,0,2010
CUSTOMER 54,746,2010
CUSTOMER 55,5614507,2010
CUSTOMER 56,100,2010
CUSTOMER 59,125638,2010
CUSTOMER 60,15,2010
CUSTOMER 61,42284,2010
CUSTOMER 69,0,2010
CUSTOMER 72,186333,2010
CUSTOMER 74,1859,2010
CUSTOMER 83,0,2010
CUSTOMER 85,98005,2010
CUSTOMER 86,13,2010
CUSTOMER 89,2510,2010
CUSTOMER 90,0,2010
CUSTOMER 92,22070,2010
CUSTOMER 94,136469,2010
CUSTOMER 95,879598,2010
CUSTOMER 96,153562,2010
CUSTOMER 98,4183936,2010
CUSTOMER 100,1746,2010
CUSTOMER 108,6160,2010
CUSTOMER 112,1,2010
CUSTOMER 114,1,2010
CUSTOMER 115,44866,2010
CUSTOMER 116,0,2010
CUSTOMER 117,180624,2010
CUSTOMER 121,0,2010
CUSTOMER 126,1244,2010
CUSTOMER 127,0,2010
CUSTOMER 131,8991,2010
CUSTOMER 132,0,2010
CUSTOMER 133,5388,2010
CUSTOMER 139,5005,2010
CUSTOMER 146,0,2010
CUSTOMER 149,1239,2010
CUSTOMER 155,0,2010
CUSTOMER 158,38,2010
CUSTOMER 165,17,2010
CUSTOMER 172,2113003,2010
CUSTOMER 180,0,2010
CUSTOMER 183,0,2010
CUSTOMER 184,139197247,2010
CUSTOMER 188,3170,2010
CUSTOMER 194,9353,2010
CUSTOMER 196,3383,2010
CUSTOMER 205,46,2010
CUSTOMER 207,0,2010
CUSTOMER 209,0,2010
CUSTOMER 214,2639009,2010
CUSTOMER 217,234,2010
CUSTOMER 226,189103,2010
CUSTOMER 227,0,2010
CUSTOMER 232,37832,2010
CUSTOMER 234,707,2010
CUSTOMER 243,74904,2010
CUSTOMER 244,955104,2010
CUSTOMER 247,30,2010
CUSTOMER 248,547991,2010
CUSTOMER 251,0,2010
CUSTOMER 253,141826,2010
CUSTOMER 257,33663,2010
CUSTOMER 258,2564,2010
CUSTOMER 264,38024,2010
CUSTOMER 269,155740,2010
CUSTOMER 270,62130,2010
CUSTOMER 271,360960,2010
CUSTOMER 276,1414,2010
CUSTOMER 277,1147509,2010
CUSTOMER 284,138694932,2010
CUSTOMER 286,96220,2010
CUSTOMER 289,0,2010
CUSTOMER 290,22726,2010
CUSTOMER 294,181643,2010
CUSTOMER 295,55830,2010
CUSTOMER 301,1,2010
CUSTOMER 309,15355,2010
CUSTOMER 310,35725,2010
CUSTOMER 311,50720,2010
CUSTOMER 312,8614,2010
CUSTOMER 314,0,2010
CUSTOMER 314,1,2010
CUSTOMER 316,2,2010
CUSTOMER 322,101211,2010
CUSTOMER 328,61624,2010
CUSTOMER 338,0,2010
CUSTOMER 346,74870,2010
CUSTOMER 356,4643,2010
CUSTOMER 360,0,2010
CUSTOMER 361,16072,2010
CUSTOMER 363,12665,2010
CUSTOMER 364,118,2010
CUSTOMER 366,0,2010
CUSTOMER 367,1262,2010
CUSTOMER 369,0,2010
CUSTOMER 370,0,2010
CUSTOMER 372,521987,2010
CUSTOMER 374,1212,2010
CUSTOMER 378,26972,2010
CUSTOMER 382,182929,2010
CUSTOMER 383,1286378,2010
CUSTOMER 384,7729,2010
CUSTOMER 385,0,2010
CUSTOMER 387,0,2010
CUSTOMER 391,804,2010
CUSTOMER 394,397010,2010
CUSTOMER 397,0,2010
CUSTOMER 397,0,2010
CUSTOMER 399,4,2010
CUSTOMER 400,19584,2010
CUSTOMER 402,244,2010
CUSTOMER 404,755299,2010
CUSTOMER 409,3,2010
CUSTOMER 410,37694,2010
CUSTOMER 411,16666,2010
CUSTOMER 415,15070,2010
CUSTOMER 416,6862,2010
CUSTOMER 423,10854,2010
CUSTOMER 424,239189,2010
CUSTOMER 428,4,2010
CUSTOMER 431,1,2010
CUSTOMER 434,19,2010
CUSTOMER 437,68,2010
CUSTOMER 450,328236,2010
CUSTOMER 455,505110,2010
CUSTOMER 457,811,2010
CUSTOMER 463,180,2010
CUSTOMER 468,16,2010
CUSTOMER 471,413719,2010
CUSTOMER 473,2,2010
CUSTOMER 474,0,2010
CUSTOMER 475,2661,2010
CUSTOMER 478,71,2010
CUSTOMER 479,141436,2010
CUSTOMER 480,67954,2010
CUSTOMER 482,5368,2010
CUSTOMER 487,173187,2010
CUSTOMER 489,9,2010
CUSTOMER 494,0,2010
CUSTOMER 500,1426218,2010
CUSTOMER 507,0,2010
CUSTOMER 514,58128,2010
CUSTOMER 515,0,2010
CUSTOMER 516,94841,2010
CUSTOMER 526,1133257,2010
CUSTOMER 533,0,2010
CUSTOMER 534,172209,2010
CUSTOMER 537,951,2010
CUSTOMER 539,493549,2010
CUSTOMER 540,33293,2010
CUSTOMER 542,37896,2010
CUSTOMER 543,11958,2010
CUSTOMER 544,0,2010
CUSTOMER 547,25454,2010
CUSTOMER 548,373,2010
CUSTOMER 548,0,2010
CUSTOMER 549,17128,2010
CUSTOMER 566,691473,2010
CUSTOMER 568,101218,2010
CUSTOMER 569,24,2010
CUSTOMER 572,557148,2010
CUSTOMER 574,351,2010
CUSTOMER 575,42761,2010
CUSTOMER 579,46705,2010
CUSTOMER 581,1932152,2010
CUSTOMER 583,1411,2010
CUSTOMER 586,590925,2010
CUSTOMER 587,519,2010
CUSTOMER 589,4,2010
CUSTOMER 594,0,2010
CUSTOMER 599,0,2010
CUSTOMER 606,2777718,2010
CUSTOMER 607,878754,2010
CUSTOMER 609,15,2010
CUSTOMER 610,0,2010
CUSTOMER 611,0,2010
CUSTOMER 612,2962,2010
CUSTOMER 615,138014,2010
CUSTOMER 616,18,2010
CUSTOMER 617,42,2010
CUSTOMER 621,3522692,2010
CUSTOMER 623,666,2010
CUSTOMER 627,3458329,2010
CUSTOMER 628,24414,2010
CUSTOMER 634,5927,2010
CUSTOMER 638,150120,2010
CUSTOMER 643,230,2010
CUSTOMER 644,1985,2010
CUSTOMER 648,551793,2010
CUSTOMER 650,0,2010
CUSTOMER 651,0,2010
CUSTOMER 653,0,2010
CUSTOMER 655,4753121,2010
CUSTOMER 656,63495,2010
CUSTOMER 660,180276,2010
CUSTOMER 661,9596,2010
CUSTOMER 662,447076,2010
CUSTOMER 663,36894,2010
CUSTOMER 668,341709,2010
CUSTOMER 673,10972,2010
CUSTOMER 674,0,2010
CUSTOMER 675,287,2010
CUSTOMER 676,403,2010
CUSTOMER 678,36500,2010
CUSTOMER 679,9961000,2010
CUSTOMER 680,5138,2010
CUSTOMER 683,2496094,2010
CUSTOMER 684,297,2010
CUSTOMER 685,16,2010
CUSTOMER 688,0,2010
CUSTOMER 690,0,2010
CUSTOMER 692,134308,2010
CUSTOMER 695,8331,2010
CUSTOMER 697,3455,2010
CUSTOMER 698,37885,2010
CUSTOMER 705,1108,2010
CUSTOMER 709,0,2010
CUSTOMER 709,78,2010
CUSTOMER 711,0,2010
CUSTOMER 713,1897834,2010
CUSTOMER 716,0,2010
CUSTOMER 717,36171,2010
CUSTOMER 718,228689,2010
CUSTOMER 722,587180,2010
CUSTOMER 725,43434,2010
CUSTOMER 726,1551679,2010
CUSTOMER 727,13753,2010
CUSTOMER 728,0,2010
CUSTOMER 729,73169,2010
CUSTOMER 731,231896,2010
CUSTOMER 732,0,2010
CUSTOMER 733,2307033,2010
CUSTOMER 739,12,2010
CUSTOMER 740,701,2010
CUSTOMER 742,20319,2010
CUSTOMER 743,0,2010
CUSTOMER 745,1747390,2010
CUSTOMER 747,15948,2010
CUSTOMER 749,308557,2010
CUSTOMER 750,0,2010
CUSTOMER 752,17367,2010
CUSTOMER 754,90,2010
CUSTOMER 758,0,2010
CUSTOMER 759,274416,2010
CUSTOMER 761,176051,2010
CUSTOMER 762,61251,2010
CUSTOMER 768,0,2010
CUSTOMER 778,36210,2010
CUSTOMER 782,2,2010
CUSTOMER 785,0,2010
CUSTOMER 786,30388,2010
CUSTOMER 792,34987,2010
CUSTOMER 797,354,2010
CUSTOMER 803,43997,2010
CUSTOMER 804,10810,2010
CUSTOMER 806,212,2010
CUSTOMER 811,10,2010
CUSTOMER 813,89240,2010
CUSTOMER 818,0,2010
CUSTOMER 822,1135,2010
CUSTOMER 825,354262,2010
CUSTOMER 828,17262,2010
CUSTOMER 829,45,2010
CUSTOMER 831,0,2010
CUSTOMER 832,14965,2010
CUSTOMER 833,0,2010
CUSTOMER 835,1,2010
CUSTOMER 839,329103,2010
CUSTOMER 843,8880,2010
CUSTOMER 847,96519,2010
CUSTOMER 850,17389,2010
CUSTOMER 854,12233,2010
CUSTOMER 861,152320,2010
CUSTOMER 862,0,2010
CUSTOMER 864,87317,2010
CUSTOMER 867,2340977,2010
